"","RegionName","RegionCode","Jurisdiction","Date","C1_School.closing","C1_Flag","C2_Workplace.closing","C2_Flag","C3_Cancel.public.events","C3_Flag","C4_Restrictions.on.gatherings","C4_Flag","C5_Close.public.transport","C5_Flag","C6_Stay.at.home.requirements","C6_Flag","C7_Restrictions.on.internal.movement","C7_Flag","C8_International.travel.controls","E1_Income.support","E1_Flag","E2_Debt.contract.relief","E3_Fiscal.measures","E4_International.support","H1_Public.information.campaigns","H1_Flag","H2_Testing.policy","H3_Contact.tracing","H4_Emergency.investment.in.healthcare","H5_Investment.in.vaccines","H6_Facial.Coverings","H6_Flag","M1_Wildcard","ConfirmedCases","ConfirmedDeaths","StringencyIndex","StringencyIndexForDisplay","StringencyLegacyIndex","StringencyLegacyIndexForDisplay","GovernmentResponseIndex","GovernmentResponseIndexForDisplay","ContainmentHealthIndex","ContainmentHealthIndexForDisplay","EconomicSupportIndex","EconomicSupportIndexForDisplay","goog_retail","goog_parks","goog_transitstations","goog_workplaces","goog_residential","newCases","newDeaths","totalCases","deaths","tests","tests_per_100k_inhabitants","totalCases_per_100k_inhabitants","moveave_newcases","cases_controlled","max_test_percase","min_test_percase","mean_test_percase","test_percase","test_parameter","test_and_trace","ave_goog_retail","ave_goog_parks","ave_goog_transitstations","ave_goog_workplaces","ave_goog_residential","google_ave","min_google","mob","community_understanding","c7risk","c8risk","manage_imported_cases","pop","newcases_permillion","endemic_factor","rooi_unadjusted","risk_of_openness"
"4836","Piaui","BR_PI","STATE_ALL",2020-05-27,3,1,2,1,2,1,4,1,2,0,1,1,2,0,4,NA,NA,NA,NA,NA,2,1,2,2,NA,NA,4,1,NA,3966,134,83.33,83.33,86.9,86.9,72.62,72.62,84.72,84.72,NA,NA,-61,-28,-70,-34,20,277,4,4243,138,35637,1088.74209,129.62743,220.142857142857,1,15.2267749001417,0.39784093067957,3.74663929068763,8.39901013433891,0.836767911582074,0.164949377542296,-64.4285714285714,-32.4285714285714,-72.1428571428571,-30.5714285714286,19.1428571428571,-55.7142857142857,38.952380952381,38.952380952381,0.594761904761905,1,0,0.5,3273226.99538511,67.2556035536902,0.115037357024601,0.56492782057605,0.614977374211915
"4837","Piaui","BR_PI","STATE_ALL",2020-05-28,3,1,2,1,2,1,4,1,2,0,1,1,2,0,4,NA,NA,NA,NA,NA,2,1,2,2,NA,NA,4,1,NA,4243,138,83.33,83.33,86.9,86.9,72.62,72.62,84.72,84.72,NA,NA,-60,-23,-71,-33,19,260,8,4503,146,35637,1088.74209,137.57066,224.142857142857,1,14.2379518072289,0.912355917175194,3.49178049578606,7.91405729513658,0.786263375659112,0.190201645503777,-64.2857142857143,-32,-71.5714285714286,-30,19,-55.2857142857143,38.952380952381,38.952380952381,0.594761904761905,1,0,0.5,3273226.99538511,68.4776391795846,0.123184261197231,0.571240887566421,0.624057262063132
"4838","Piaui","BR_PI","STATE_ALL",2020-05-29,3,1,2,1,2,1,4,1,2,0,1,1,2,0,4,NA,NA,NA,NA,NA,2,1,2,2,NA,NA,4,1,NA,4503,146,83.33,83.33,86.9,86.9,72.62,72.62,84.72,84.72,NA,NA,-67,-37,-73,-40,22,242,11,4745,157,42152,1287.78114,144.96398,255.142857142857,1,16.0686769089658,0.844918305178621,3.9400465634357,8.88345626975764,0.798776491400205,0.183945087633231,-63.8571428571429,-32,-71.1428571428571,-29.4285714285714,18.7142857142857,-54.8095238095238,38.952380952381,38.952380952381,0.594761904761905,1,0,0.5,3273227.00191121,77.9484151248543,0.186322767499028,0.569676748098784,0.6498557673122
"4839","Piaui","BR_PI","STATE_ALL",2020-05-30,3,1,3,1,2,1,4,1,2,0,1,1,2,1,4,NA,NA,NA,NA,NA,2,1,2,2,NA,NA,4,1,NA,4745,157,89.81,89.81,95.24,95.24,76.79,76.79,89.58,89.58,NA,NA,-65,-36,-73,-21,17,186,4,4931,161,42152,1287.78114,150.64644,266,1,14.7932235592147,0.766390354182366,3.74353839267211,8.5483674711012,0.814734545877118,0.175966060394774,-63.4285714285714,-32,-70.7142857142857,-29,18.5714285714286,-54.3809523809524,38.952380952381,38.952380952381,0.594761904761905,2,0,1,3273227.00191121,81.2653689599545,0.208435793066363,0.69268199128917,0.756738064158387
"4840","Piaui","BR_PI","STATE_ALL",2020-05-31,3,1,3,1,2,1,4,1,2,0,1,1,2,1,4,NA,NA,NA,NA,NA,2,1,2,2,NA,NA,4,1,NA,NA,NA,89.81,89.81,95.24,95.24,76.79,76.79,89.58,89.58,NA,NA,-75,-41,-75,-15,16,188,7,5119,168,42152,1287.78114,156.39001,260.142857142857,1,14.3303680981595,0.730603448275862,3.61250477009271,8.23442078530963,0.813841229268547,0.17641271869906,-63,-31.7142857142857,-70.2857142857143,-28.5714285714286,18.4285714285714,-53.952380952381,38.952380952381,38.952380952381,0.594761904761905,2,0,1,3273227.00191121,79.4759596541767,0.196506397694512,0.692793655865241,0.753161667900063
"4841","Piaui","BR_PI","STATE_ALL",2020-06-01,3,1,2,1,2,1,4,1,2,0,1,1,2,0,4,NA,NA,NA,NA,NA,2,1,2,2,NA,NA,4,1,NA,5119,168,83.33,83.33,86.9,86.9,72.62,72.62,84.72,84.72,NA,NA,-57,-30,-65,-29,18,387,12,5506,180,42152,1287.78114,168.2132,316.285714285714,1,13.3350142721218,0.702186421173763,3.45449281904148,7.65564838358155,0.811494902859675,0.177585881903496,-62.7142857142857,-31.4285714285714,-70,-28.2857142857143,18.4285714285714,-53.6666666666667,38.952380952381,38.952380952381,0.594761904761905,1,0,0.5,3273227.00191121,96.6281025119974,0.310854016746649,0.56808694666635,0.702348854180425
"4842","Piaui","BR_PI","STATE_ALL",2020-06-02,3,1,2,1,2,1,4,1,2,0,1,1,2,0,4,NA,NA,NA,NA,NA,2,1,2,2,NA,NA,4,1,NA,NA,NA,83.33,83.33,86.9,86.9,72.62,72.62,84.72,84.72,NA,NA,-59,-29,-68,-31,18,322,12,5828,192,45826,1400.02511,178.05059,337.142857142857,1,13.0797796730633,0.680571046174437,3.6562648460376,7.86307481125601,0.82783876346041,0.169413951603129,-61.4285714285714,-30.8571428571429,-69,-26.7142857142857,18.1428571428571,-52.3809523809524,38.952380952381,38.952380952381,0.594761904761905,1,0,0.5,3273227.00662133,103.000145257527,0.353334301716846,0.566043964091258,0.719375517014884
"4843","Piaui","BR_PI","STATE_ALL",2020-06-03,3,1,2,1,2,1,4,1,2,0,1,1,2,0,4,NA,NA,NA,NA,NA,2,1,2,2,NA,NA,4,1,NA,5506,180,83.33,83.33,86.9,86.9,72.62,72.62,84.72,84.72,NA,NA,-58,-26,-67,-31,19,236,10,6064,202,45826,1400.02511,185.2606,363.857142857143,1,12.2484193011647,0.649425287356322,3.47085883689213,7.5570580474934,0.835579046463818,0.165543810101424,-61,-30.5714285714286,-68.5714285714286,-26.1428571428571,18.1428571428571,-51.9047619047619,38.952380952381,38.952380952381,0.594761904761905,1,0,0.5,3273227.00662133,111.161597445306,0.407743982968704,0.565076428715832,0.742413897958212
"4844","Piaui","BR_PI","STATE_ALL",2020-06-04,3,1,2,1,2,1,4,1,2,0,1,1,2,0,4,NA,NA,NA,NA,NA,2,1,2,2,NA,NA,4,1,NA,5828,192,83.33,83.33,86.9,86.9,72.62,72.62,84.72,84.72,NA,NA,-58,-21,-69,-31,19,653,15,6717,217,45826,1400.02511,205.21033,357.428571428571,1,11.3925559080709,0.625076828518746,3.25557986921915,6.82239094834003,0.823362634578148,0.171652016044259,-60.1428571428571,-30,-68.2857142857143,-24.8571428571429,18,-51.0952380952381,38.952380952381,38.952380952381,0.594761904761905,1,0,0.5,3273227.00662133,109.197611624717,0.394650744164781,0.566603480201541,0.737643739258429
"4845","Piaui","BR_PI","STATE_ALL",2020-06-05,3,1,2,1,2,1,4,1,2,0,1,1,2,0,4,NA,NA,NA,NA,NA,2,1,2,2,NA,NA,4,1,NA,6064,202,83.33,83.33,86.9,86.9,72.62,72.62,84.72,84.72,NA,NA,-58,-33,-66,-29,20,388,7,7105,224,45826,1400.02511,217.06408,345.857142857143,1,10.3621903153153,0.917564054957297,3.05520929067536,6.44982406755806,0.804425599760863,0.181120533452902,-59.8571428571429,-29.8571428571429,-68,-24.4285714285714,18,-50.7619047619048,38.952380952381,38.952380952381,0.594761904761905,1,0,0.5,3273227.00662133,105.662437147658,0.371082914317719,0.568970609553702,0.728918251917104
"4846","Piaui","BR_PI","STATE_ALL",2020-06-06,3,1,2,1,2,1,4,1,2,0,1,1,2,0,4,NA,NA,NA,NA,NA,2,1,2,2,NA,NA,4,1,NA,NA,NA,83.33,83.33,86.9,86.9,72.62,72.62,84.72,84.72,NA,NA,-62,-34,-70,-17,17,373,15,7478,239,51122,1561.82263,228.45956,361.571428571429,1,9.28870662460568,0.971988416851063,3.2217591958466,6.83631987162343,0.864190895971993,0.151237885347337,-59.4285714285714,-30,-67.5714285714286,-24.1428571428571,18,-50.3809523809524,38.952380952381,38.952380952381,0.594761904761905,1,0,0.5,3273226.99889423,110.463291636533,0.403088610910222,0.56149994752731,0.738254324562586
"4847","Piaui","BR_PI","STATE_ALL",2020-06-07,3,1,2,1,2,1,4,1,2,0,1,1,2,0,4,NA,NA,NA,NA,NA,2,1,2,2,NA,NA,4,1,NA,NA,NA,83.33,83.33,86.9,86.9,72.62,72.62,84.72,84.72,NA,NA,-69,-37,-73,-6,15,143,15,7621,254,51122,1561.82263,232.82834,394.142857142857,1,8.85676472357577,0.954841234894075,3.11279949683578,6.70804356383677,0.875246819316614,0.145709923675026,-58.7142857142857,-29.4285714285714,-67.2857142857143,-23.8571428571429,17.8571428571429,-49.952380952381,38.952380952381,38.952380952381,0.594761904761905,1,0,0.5,3273226.99889423,120.414153151006,0.469427687673371,0.560117957109233,0.766610767352484
